subject,language,word,cons,vot,cog,sd,skew,kurt,cm,mint
marinaGo,Spanish,danza,da,-64.4033333333333,587.11,764.046666666667,8.55666666666667,130.216666666667,3537535629.59,70.7469
martaLav,Spanish,danza,da,-68.31,711.376666666667,499.703333333333,5.16333333333333,61.6933333333333,785907203.936667,76.5958
tamaraMo,Spanish,danza,da,-85.1033333333333,815.606666666667,1025.78666666667,5.55666666666667,81.6966666666667,6494676295.52667,66.5565666666667
ainaGomi,Spanish,danzar,da,-2.56333333333333,563.406666666667,433.686666666667,6.96,119.213333333333,656982720.926667,72.1854333333333
albaMart,Spanish,danzar,da,-88.0666666666667,821.463333333333,866.79,4.62666666666667,62.6,4794116585.21667,69.4968
elenaFer,Spanish,danzar,da,-60.5033333333333,887.6,1013.74,5.33333333333333,60.4266666666667,6422176080.41667,70.4007
lauraRay,Spanish,danzar,da,-40.4333333333333,506.993333333333,589.54,8.74333333333333,137.27,2343774884.53,65.4949666666667
marinaGo,Spanish,danzar,da,-16.2366666666667,467.71,562.67,9.00333333333333,143.453333333333,1668431987.87333,69.5719666666667
martaLav,Spanish,danzar,da,-42.4033333333333,601.436666666667,452.873333333333,6.2,85.1533333333333,665168466.603333,68.8042666666667
tamaraMo,Spanish,danzar,da,-60.1066666666667,1015.57,1235.24666666667,3.20333333333333,25.13,10279603495.43,62.949
hollyHig,English,dapper,da,25.65,1879.47,1959.55333333333,1.32333333333333,3.22333333333333,8257290811.90333,63.5859666666667
jessicaN,English,dapper,da,20.7066666666667,1691.51666666667,1955.56666666667,1.96333333333333,6.84666666666667,11429897517.2067,63.5552666666667
katieMar,English,dapper,da,13.8866666666667,510.6,625.086666666667,4.48666666666667,33.8433333333333,1138069683.80333,64.7457666666667
lisetteC,English,dapper,da,20.3833333333333,1378.76,1732.26666666667,2.24666666666667,7.85666666666667,8171965508.59667,67.0331333333333
mariahFr,English,dapper,da,27.35,3345.51333333333,1932.24666666667,0.84,2.93333333333333,2508767886.78,67.5639666666667
meganHor,English,dapper,da,14.92,764.763333333333,1072.66,3.82666666666667,29.7666666666667,4535869272.16,70.0086
vanessaV,English,dapper,da,37.56,2803.47666666667,2235.29,0.753333333333333,2.43333333333333,5304693856.71333,57.2068666666667
hollyHig,English,dazzle,da,18.0833333333333,1014.72333333333,1336.90333333333,3.70333333333333,22.12,7386822596.05667,68.4287
jessicaN,English,dazzle,da,19.94,1488.45333333333,2221.26666666667,2.04,4.51666666666667,22525486718.4433,63.6623666666667
katieMar,English,dazzle,da,14.1933333333333,507.83,668.696666666667,5.54,55.2633333333333,1541917160.92,67.4343333333333
lisetteC,English,dazzle,da,19,1422.97666666667,1633.10666666667,3.53666666666667,23.63,9103885456.84,64.6963333333333
mariahFr,English,dazzle,da,22.4966666666667,4090.14333333333,2127.29333333333,-0.29,0.54,-3264280174.97,68.8506666666667
meganHor,English,dazzle,da,20.4533333333333,2428.64333333333,2090.22333333333,0.8,0.71,7111108111.73333,72.3478333333333
vanessaV,English,dazzle,da,41.9766666666667,3295.11,2360.95,0.276666666666667,0.56,9567616873.92667,60.2297666666667
ainaGomi,Spanish,tabaco,ta,12.8966666666667,479.363333333333,557.57,10.8333333333333,168.79,1961096710.9,70.7745666666667
albaMart,Spanish,tabaco,ta,12.7633333333333,896.39,932.816666666667,4.36333333333333,30.0666666666667,4870050829.11,70.3666
elenaFer,Spanish,tabaco,ta,13.7533333333333,1025.75666666667,1270.82333333333,5.86,56.61,9698358842.00333,65.8815666666667
lauraRay,Spanish,tabaco,ta,17.8933333333333,1093.77666666667,1865.96,3.61,15.6866666666667,24335680990.8533,60.4990333333333
marinaGo,Spanish,tabaco,ta,14.1,890.546666666667,908.903333333333,4.78,59.9,4840603354.20333,69.6031333333333
martaLav,Spanish,tabaco,ta,13.1133333333333,735.54,986.306666666667,4.9,39.16,4687083514.31667,68.4509333333333
tamaraMo,Spanish,tabaco,ta,12.0866666666667,716.23,618.196666666667,4.91,48.45,1316482099.19333,69.6104666666667
hollyHig,English,tabard,ta,73.7966666666667,2221.62333333333,1827.01666666667,0.973333333333333,2.4,6123650210.08667,55.6776333333333
jessicaN,English,tabard,ta,63.6733333333333,4319.70333333333,1866.90666666667,0.513333333333333,2.78666666666667,3331303775.05333,62.1160666666667
katieMar,English,tabard,ta,72.3866666666667,3621.68333333333,2175.35666666667,-0.0466666666666667,1.91333333333333,883107571.92,55.3762333333333
lisetteC,English,tabard,ta,86.1533333333333,4084.45666666667,1821.80666666667,-0.14,2.61333333333333,1669090596.61,55.8265666666667
mariahFr,English,tabard,ta,135.746666666667,5308.93666666667,2159.58666666667,-0.496666666666667,0.94,-4841605912.32667,66.4086666666667
meganHor,English,tabard,ta,58.155,1562.715,2115.47,1.835,3.875,17543621350.95,55.5565
vanessaV,English,tabard,ta,116.673333333333,4007.53666666667,1844.98666666667,0.186666666666667,4.17666666666667,1444892032.27333,56.2511666666667
ainaGomi,Spanish,taberna,ta,11.7433333333333,576.883333333333,693.71,8.34,121.723333333333,2517678025.44667,71.9836
albaMart,Spanish,taberna,ta,10.39,705.79,540.176666666667,4.78333333333333,54.2833333333333,1072609989.07333,72.0590333333333
elenaFer,Spanish,taberna,ta,16.15,980.353333333333,1471.07333333333,3.19666666666667,13.14,10205588211.0033,67.7654333333333
lauraRay,Spanish,taberna,ta,15.8933333333333,1073.19,1595.59666666667,4.68333333333333,33.34,18171483702.4333,62.2344
marinaGo,Spanish,taberna,ta,16.1766666666667,623.563333333333,876.173333333333,7.09333333333333,105.433333333333,5316966151.56667,68.7177666666667
martaLav,Spanish,taberna,ta,10.9433333333333,574.26,641.056666666667,6.95,91.23,2154658903.41333,73.1056
tamaraMo,Spanish,taberna,ta,13.0266666666667,1252.19,1356.86,4.09,52.5333333333333,17966273357.18,66.8193
ainaGomi,Spanish,tabla,ta,10.6433333333333,651.1,446.23,5.86333333333333,80.8133333333333,528324076.196667,76.0963666666667
albaMart,Spanish,tabla,ta,10.75,715.03,597.556666666667,4.45666666666667,43.7333333333333,1200604382.61667,73.8259
elenaFer,Spanish,tabla,ta,15.1733333333333,937.83,1071.81,5.22,52.49,6625094055.30667,69.7282
lauraRay,Spanish,tabla,ta,16.1933333333333,1596.96666666667,1660.07333333333,3.18333333333333,21.0433333333333,17828435866.79,67.3917333333333
marinaGo,Spanish,tabla,ta,13.305,563.98,712.09,9.675,183.825,3248061626.345,70.5218
martaLav,Spanish,tabla,ta,7.81333333333333,683.6,383.36,5.39666666666667,82.3733333333333,312111986.903333,76.2313333333333
tamaraMo,Spanish,tabla,ta,13.35,797.71,732.523333333333,4.5,41.1233333333333,2285354224.04,69.3194333333333
hollyHig,English,tabloid,ta,72.4,2637.71,2233.39333333333,0.836666666666667,0.623333333333333,8961178901.53,56.6971666666667
jessicaN,English,tabloid,ta,59.3033333333333,4032.59333333333,2091.94,0.366666666666667,1.74333333333333,3734524386.41333,58.3942333333333
katieMar,English,tabloid,ta,73.81,2311.51333333333,2078.64666666667,1.35666666666667,3.27666666666667,12313211782.1,55.3687333333333
lisetteC,English,tabloid,ta,80.1666666666667,3986.76333333333,2552,0.276666666666667,0.67,3515974414,55.3726
mariahFr,English,tabloid,ta,119.123333333333,5514.62666666667,1677.80666666667,-0.686666666666667,5.87,797905516.166667,69.1814333333333
meganHor,English,tabloid,ta,75.9433333333333,2585.96666666667,1733.35666666667,0.62,3.03666666666667,3253431584.24,62.1424333333333
vanessaV,English,tabloid,ta,113.22,4116.25,2005.41,0.0753333333333333,1.18,1236793325.69667,58.5696333333333
hollyHig,English,taboo,ta,74.4966666666667,3329.95,1741.07333333333,0.67,3.24666666666667,3551965442.84333,57.3801
jessicaN,English,taboo,ta,59.05,4059.85,2461.13,0.356666666666667,0.343333333333333,5494010798.01667,58.5496666666667
katieMar,English,taboo,ta,64.0033333333333,3739.54,1861.72333333333,0.436333333333333,2.87,4043389815.60667,55.9675666666667
lisetteC,English,taboo,ta,66.97,4372.34,2176.66333333333,0.116666666666667,1.4,1857378962.08333,56.5024333333333
mariahFr,English,taboo,ta,100.82,5072.87333333333,1604.53,0.42,2.42333333333333,-74378096.4099998,67.2824333333333
meganHor,English,taboo,ta,68.32,3001.69,1637.97666666667,0.433333333333333,2.98333333333333,2456662182.1,64.9971666666667
vanessaV,English,taboo,ta,108.48,4540.49333333333,1805.48666666667,0.526666666666667,4.78,2301429785,59.0348666666667
ainaGomi,Spanish,tabu,ta,12.22,510.53,469.8,10.09,176.186666666667,1049486477.23333,72.8749333333333
albaMart,Spanish,tabu,ta,9.58666666666667,830.916666666667,694.86,3.43,23.4566666666667,3121363215.74,75.4622333333333
elenaFer,Spanish,tabu,ta,16.0733333333333,900.086666666667,1049.08666666667,5.33,59.0533333333333,5050362040.72333,67.5093333333333
lauraRay,Spanish,tabu,ta,14.2,750.336666666667,970.676666666667,6.12,54.2933333333333,5311568865.41667,62.9495
marinaGo,Spanish,tabu,ta,12.4466666666667,526.386666666667,579.313333333333,8.34666666666667,130.663333333333,1870519815.44333,70.1726666666667
martaLav,Spanish,tabu,ta,10.94,577.096666666667,517.963333333333,6.09333333333333,70.6166666666667,868484504.21,70.8113
tamaraMo,Spanish,tabu,ta,11.1566666666667,662.676666666667,494.36,4.63,56.9966666666667,573518463.403333,68.2373666666667
hollyHig,English,tacit,ta,76.7133333333333,1859.93666666667,1898.10666666667,1.23333333333333,2.72666666666667,7051987894.54667,58.1132
jessicaN,English,tacit,ta,69.72,4640.12333333333,2581.69,0.506666666666667,0.19,8237062721.68667,59.9446333333333
katieMar,English,tacit,ta,91.8433333333333,3084.89666666667,1833.72333333333,0.26,1.51333333333333,1630033791.82,54.5557666666667
lisetteC,English,tacit,ta,74.0666666666667,4873.68666666667,2408.79666666667,-0.41,0.0733333333333333,-6280723921.90333,56.6558666666667
mariahFr,English,tacit,ta,103.56,5121.67,1585.27333333333,-0.476666666666667,4.46,-4136274927.39333,66.9392666666667
meganHor,English,tacit,ta,72.7,2621.8,2001.33,1.23,6.81,5975404169.24333,62.4380333333333
vanessaV,English,tacit,ta,114.23,4966.49333333333,2535.29,0.0866666666666667,0.31,1834417059.57667,59.9122666666667
hollyHig,English,tackle,ta,76.2866666666667,2775.69,2172.49333333333,0.596666666666667,0.52,6532212822.68667,55.5544
jessicaN,English,tackle,ta,68.12,4379.65333333333,2218.86,0.276666666666667,0.946666666666667,3790717243.51667,59.8024
katieMar,English,tackle,ta,66.6633333333333,3883.79333333333,2161.32,0.113333333333333,0.773333333333333,1760349865.34,54.2070666666667
lisetteC,English,tackle,ta,70.2433333333333,4818.53666666667,2250.87333333333,-0.25,1.43333333333333,-2951942691.18667,60.0726
mariahFr,English,tackle,ta,112.416666666667,5678.58,1784.16,-0.106666666666667,4.86666666666667,-7474957134.87667,67.8494666666667
meganHor,English,tackle,ta,64.2533333333333,2462.46666666667,1753.75666666667,0.883333333333333,4.05333333333333,4399191051.58,63.1144
vanessaV,English,tackle,ta,109.026666666667,5156.85,2256.00333333333,0.186666666666667,0.533333333333333,1062816909.78333,58.8447333333333
ainaGomi,Spanish,taco,ta,11.58,542.89,443.916666666667,9.07,167.423333333333,826857273.963333,72.5255666666667
albaMart,Spanish,taco,ta,10.5233333333333,794.97,430.323333333333,3.26333333333333,32.4466666666667,270479793.88,75.2831
elenaFer,Spanish,taco,ta,14.1566666666667,761.08,1214.87666666667,4.67,27.63,8348333994.17,70.3644
lauraRay,Spanish,taco,ta,16.3933333333333,1651.88333333333,1923.56333333333,2.96,12.72,16444853855.72,67.2969666666667
marinaGo,Spanish,taco,ta,12.71,605.176666666667,689.703333333333,8.35,122.08,2801017903.22667,70.6788
martaLav,Spanish,taco,ta,8.21333333333333,685.386666666667,399.626666666667,5.85333333333333,95.7866666666667,378728818.406667,76.7892666666667
tamaraMo,Spanish,taco,ta,14.3333333333333,899.903333333333,864.52,3.82,40.5133333333333,4391139316.89,68.8024
hollyHig,English,tactics,ta,66.3366666666667,2741.24333333333,2013.19666666667,0.623333333333333,1.74666666666667,4684687176.66667,56.1877
jessicaN,English,tactics,ta,52.24,3043.90333333333,1920.77,0.353333333333333,1.73333333333333,5034822017.46667,59.8392
katieMar,English,tactics,ta,55.42,2701.95333333333,1749.6,0.576666666666667,2.43,1780359104.56667,56.4743333333333
lisetteC,English,tactics,ta,75.8566666666667,5588.6,2141.78666666667,-0.466666666666667,0.99,-4627518118.25333,60.5149
mariahFr,English,tactics,ta,96.6733333333333,3426.41333333333,1362.04,1.27,8.83666666666667,2049213170.14,64.0027333333333
meganHor,English,tactics,ta,51.04,2580.79333333333,1958.13,0.806666666666667,1.94,6327229409.73667,63.2074
vanessaV,English,tactics,ta,89.77,4424.49666666667,2732.34333333333,0.0443333333333333,-0.8,84572689.1433333,58.8837666666667
ainaGomi,Spanish,tactil,ta,10.99,557.83,591.83,8.71333333333333,143.63,2397344006.49667,72.2307
