group,id,item,language,misc,f1_start,f2_start,f1_cent,f2_cent,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P02,tacaño,spanish,5,340.44,690.35,428.96,784.23,11.66,5,532.95,1286.89,4.79,25,NA,1,t,voiceless,unstressed
bi_aldrich,P02,tanque,spanish,5,415.04,723.92,429.48,760.76,12.85,5.56,635.52,1270.86,5.12,30.17,NA,1,t,voiceless,stressed
bi_aldrich,P02,tapioca,spanish,5,375.95,748.78,441.54,751.24,13.03,8.88,841.19,1427.34,3.92,17.2,NA,1,t,voiceless,unstressed
bi_aldrich,P02,camión,spanish,5,334.58,771.77,393.02,703.82,16.59,11,1433.39,710.16,3.09,33.29,NA,1,k,voiceless,unstressed
bi_aldrich,P02,papel,spanish,5,305.78,642.44,392.68,617.56,8.85,7.08,198.32,270.61,8.61,209.15,NA,1,p,voiceless,unstressed
bi_aldrich,P02,cancha,spanish,5,336.79,786.59,397.89,749.41,27.49,11.17,824.62,1186.6,3.94,18.55,NA,1,k,voiceless,stressed
bi_aldrich,P02,pandilla,spanish,5,320.76,604.63,450.82,694.57,8.24,5.04,151.93,180.5,11.76,450.85,NA,1,p,voiceless,unstressed
bi_aldrich,P02,camisa,spanish,5,281.19,817.34,413.18,731.93,32.76,14.86,1122.98,872.7,2.37,12.63,NA,1,k,voiceless,unstressed
bi_aldrich,P02,patriota,spanish,5,347.97,623.14,438.05,712.5,13.16,8.25,213.7,378.76,9.02,139.23,NA,1,p,voiceless,unstressed
bi_aldrich,P02,tanto,spanish,5,335.49,719.69,382.51,694.7,11.62,6.96,824.71,1602.94,4.03,16,NA,1,t,voiceless,stressed
bi_aldrich,P02,castaño,spanish,5,289.57,718.48,410.75,773.04,23.56,5.85,354.46,621.68,7.56,84.09,NA,1,k,voiceless,unstressed
bi_aldrich,P02,paso,spanish,5,372.34,607.53,470.28,697.83,14.79,7.32,393.57,729.05,7.41,69.48,NA,1,p,voiceless,stressed
bi_aldrich,P02,paja,spanish,5,363.94,548.35,514.18,640.29,9.37,5.06,415.57,650.26,8.14,90.57,NA,1,p,voiceless,stressed
bi_aldrich,P02,pantera,spanish,5,340.04,583.03,443.47,723.92,12.23,2.88,106.32,232.96,16.04,438.47,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pasillo,spanish,5,326,604.6,372.6,704.41,20.23,6.38,188.93,458.13,10.18,160.16,NA,1,p,voiceless,unstressed
bi_aldrich,P02,pasión,spanish,5,317.42,590.44,403.5,712.65,13.7,7.81,167.88,262.89,11.18,279.05,NA,1,p,voiceless,unstressed
bi_aldrich,P02,capa,spanish,5,326.36,785.44,444.26,749.39,18.54,9.12,961.5,808.13,2.66,12.19,NA,1,k,voiceless,stressed
bi_aldrich,P02,cascada,spanish,5,325.27,777.35,406.62,770.61,13.98,8.66,626.06,688.94,5.84,46.35,NA,1,k,voiceless,unstressed
bi_aldrich,P02,tajo,spanish,5,367.93,715.48,489.2,725.45,12.45,7.62,646.83,1150.27,4.85,27.36,NA,1,t,voiceless,stressed
bi_aldrich,P02,pata,spanish,5,391.77,611.98,453.93,709.85,18.29,8.06,177.23,350.87,12.82,240.1,NA,1,p,voiceless,stressed
bi_aldrich,P02,cana,spanish,5,307.01,766.15,442.51,784.13,20.36,8.79,1294.05,1108.92,2.62,12.31,NA,1,k,voiceless,stressed
bi_aldrich,P02,canto,spanish,5,315.56,729.31,456.33,765.36,23.34,8.78,1485.08,801.1,2.02,11.97,NA,1,k,voiceless,stressed
bi_aldrich,P02,paco,spanish,5,321.77,595.41,430.75,696.05,7.91,3.89,148.49,160.88,4.7,169,NA,1,p,voiceless,stressed
bi_aldrich,P02,capricho,spanish,5,287.45,815.98,417.76,758.6,22.21,13.27,1093.77,832.39,1.32,6.51,NA,1,k,voiceless,unstressed
bi_aldrich,P02,tapa,spanish,5,386.83,678.14,489.3,715.59,12.52,7.15,707.27,1495.75,4.5,20.6,NA,1,t,voiceless,stressed
bi_aldrich,P02,cambio,spanish,5,318.96,815.64,454.37,748.92,26.85,8.04,1298.55,805.88,1.68,13.78,NA,1,k,voiceless,stressed
bi_aldrich,P02,caso,spanish,5,286.11,756.59,451.15,745.78,24.95,10.95,1517.75,722.86,2.91,32.38,NA,1,k,voiceless,stressed
bi_aldrich,P02,paño,spanish,5,300.83,588.96,447.77,774.5,8.22,5.39,130.55,167.4,23.96,1083.57,NA,1,p,voiceless,stressed
bi_aldrich,P02,tacto,spanish,5,405.39,688.57,468.4,718.09,18.89,14.79,419.88,1445.76,5.83,35.42,NA,1,t,voiceless,stressed
bi_aldrich,P02,casco,spanish,5,351.81,769.7,449.98,742.46,16.01,6.93,1379.68,657.6,1.52,20.14,NA,1,k,voiceless,stressed
