group,id,item,language,misc,f1_start,f2_start,f1_mp,f2_mp,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P10,pander,english,5,543.13,875.75,552.75,819.59,80.49,10.2,265.29,610.82,5.79,51.77,NA,1,p,voiceless,stressed
bi_aldrich,P10,pandora,english,5,504.54,878.88,546.72,813.07,43.28,10.32,397.89,394.1,11.19,213.87,NA,1,p,voiceless,unstressed
bi_aldrich,P10,padlock,english,5,511.79,848.65,536.4,815.96,76.95,11.64,601.28,762.82,4.84,39.22,NA,1,p,voiceless,stressed
bi_aldrich,P10,posterity,english,5,266.62,648.49,480.06,655.02,60.31,14.11,404.61,647.84,5.26,51.09,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pancake,english,5,477.7,892.37,531.47,797.61,41.81,8.23,427.59,471.27,7.45,104.79,NA,1,p,voiceless,stressed
bi_aldrich,P10,patty,english,5,515.56,863.66,527.97,832.18,72.56,12.31,464.36,571.49,7.64,93.36,NA,1,p,voiceless,stressed
bi_aldrich,P10,pageant,english,5,481.47,866.06,511.63,822.09,52.48,6.77,225.37,604.46,10.22,135.4,NA,1,p,voiceless,stressed
bi_aldrich,P10,package,english,5,506.98,884.71,531.08,828.16,49.26,13.58,1035.35,1562.43,3.57,14.29,NA,1,p,voiceless,stressed
bi_aldrich,P10,paddle,english,5,520.38,857.61,545.21,810.47,39.67,8.22,232.33,722.44,9.34,101.34,NA,1,p,voiceless,stressed
bi_aldrich,P10,pantera,spanish,5,428.7,683.85,541.39,759.15,4.13,2.86,217.75,329.68,14.38,319.63,NA,1,p,voiceless,unstressed
bi_aldrich,P10,paco,spanish,5,433.78,687.05,528.95,734.52,7.07,3.58,362.24,635.1,6.77,68.9,NA,1,p,voiceless,stressed
bi_aldrich,P10,pasión,spanish,5,406.07,704.65,520.1,765.28,5.5,5.67,169.06,285.54,15.67,374.6,NA,1,p,voiceless,unstressed
bi_aldrich,P10,paso,spanish,5,406.52,688.74,507.83,747.76,5.89,7.74,388.69,796.52,6.78,58.49,NA,1,p,voiceless,stressed
bi_aldrich,P10,pavor,spanish,5,427.51,669.07,517.77,711.2,9,7.5,304.04,585.92,10.4,134.64,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pasado,spanish,5,430.13,676.95,537.2,612.83,4.05,5.24,278.39,503.6,10.38,151.25,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pata,spanish,5,438.65,661.92,540.19,739.71,4.16,4.37,200.78,188.07,16.53,597.16,NA,1,p,voiceless,stressed
bi_aldrich,P10,papa,spanish,5,433.7,650.62,524.54,703.61,8.44,9.16,296.25,425.47,15.18,276.44,NA,1,p,voiceless,unstressed
bi_aldrich,P10,papel,spanish,5,348.85,654.11,441.79,702.12,8.31,11.31,88.72,368.56,13.92,249.25,NA,1,p,voiceless,unstressed
bi_aldrich,P10,pacto,spanish,5,431.08,681.77,561.73,736.02,4.96,6.83,298.1,537.14,7.36,87.35,NA,1,p,voiceless,stressed
bi_aldrich,P10,panza,spanish,5,449.54,641.06,568.87,739.28,4.26,3.65,413.61,473.27,7.83,119.58,NA,1,p,voiceless,stressed
bi_aldrich,P10,pasillo,spanish,5,433.94,710.55,523.98,764.76,4.1,6.05,191.71,296.04,20.15,559.58,NA,1,p,voiceless,unstressed
bi_aldrich,P10,patriota,spanish,5,427.97,671.84,520.14,765.38,2.9,5.57,457.42,714.21,8.52,89.68,NA,1,p,voiceless,unstressed
bi_aldrich,P12,package,english,5,597.06,837.95,581.77,820.98,59.62,12.04,272.92,410.43,10.44,166.17,NA,1,p,voiceless,stressed
bi_aldrich,P12,passion,english,5,595.96,794.47,588.07,799.03,71.64,11.36,374.65,382.4,9.07,170.45,NA,1,p,voiceless,stressed
bi_aldrich,P12,paprika,english,5,271.63,712.9,380.27,615.73,30.61,10.57,245.75,268.89,4.53,84.37,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pangaea,english,5,379,905.55,393.61,886.98,64.05,6.44,173.32,369.61,15.74,343.61,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pandora,english,5,450.94,925.8,375.11,865.87,49.72,7.12,198.23,370.58,13.08,250,NA,1,p,voiceless,unstressed
bi_aldrich,P12,padlock,english,5,577.28,799.17,568.4,781.52,63.99,7.03,253.5,358.3,8.76,141.66,NA,1,p,voiceless,stressed
bi_aldrich,P12,patty,english,5,577.14,838.68,595.76,806.02,43.31,2.45,191.62,207.34,11.94,296.41,NA,1,p,voiceless,stressed
bi_aldrich,P12,pompeii,english,5,226.78,640.51,524.97,643.43,47.26,5.89,131.02,143.45,7.72,294.15,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pontific,english,5,250.12,619.81,284.21,620.94,61.37,10.16,629.84,729.76,6.57,66.06,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pontoon,english,5,264.37,653.61,328.98,682.72,62.11,5.92,109.95,116.21,13.94,739.35,NA,1,p,voiceless,unstressed
bi_aldrich,P12,posterity,english,5,304.94,637.12,483.56,712.94,61.78,8.23,307.31,324.2,11.93,242.27,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pacify,english,5,587.29,769.74,571.76,770.74,65.59,8.17,134.34,171.51,14.9,613.38,NA,1,p,voiceless,stressed
bi_aldrich,P12,pandemic,english,5,488.64,872.95,444.73,824.98,53.45,5.56,186.44,424.97,17.54,345.19,NA,1,p,voiceless,unstressed
bi_aldrich,P12,pander,english,5,459.3,968.34,341.41,883.47,62.78,5.73,199.94,193.54,5.66,159.29,NA,1,p,voiceless,stressed
