
12-0250-English-Spanish-t-d
11/24/2012	19:35:13

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group		Experiment	Experiment, 95	Stimulus (95, dazzle2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 226	Stimulus (226, tacit1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 76	Stimulus (76, dannino1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 40	Stimulus (40, daltonian1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 270	Stimulus (270, tattoing3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 27	Stimulus (27, daba3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 224	Stimulus (224, tabu2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 177	Stimulus (177, nieve3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 195	Stimulus (195, seco3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 132	Stimulus (132, hand3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 277	Stimulus (277, vault1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 256	Stimulus (256, tanque1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 143	Stimulus (143, lazo2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 205	Stimulus (205, tabaco1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 28	Stimulus (28, dado1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 46	Stimulus (46, dama1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 287	Stimulus (287, zapato2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 136	Stimulus (136, iron1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 241	Stimulus (241, tamanno1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 152	Stimulus (152, lila2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 60	Stimulus (60, dancette3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 101	Stimulus (101, enano2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 87	Stimulus (87, danza3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 15	Stimulus (15, arbol3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 138	Stimulus (138, iron3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 255	Stimulus (255, tanker3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 44	Stimulus (44, daltonico2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 252	Stimulus (252, tampoco3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 129	Stimulus (129, four3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 214	Stimulus (214, tabla1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 86	Stimulus (86, danza2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 253	Stimulus (253, tanker1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 78	Stimulus (78, dannino3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 92	Stimulus (92, dapper2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 234	Stimulus (234, taco3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 216	Stimulus (216, tabla3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 246	Stimulus (246, tambien3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 110	Stimulus (110, fat2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 165	Stimulus (165, medico3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 245	Stimulus (245, tambien2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 106	Stimulus (106, evening1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 48	Stimulus (48, dama3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 82	Stimulus (82, danseur1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 7	Stimulus (7, answer1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 141	Stimulus (141, isla3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 228	Stimulus (228, tacit3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 278	Stimulus (278, vault2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 81	Stimulus (81, danno3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 244	Stimulus (244, tambien1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 268	Stimulus (268, tattoing1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 38	Stimulus (38, dakota2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 187	Stimulus (187, river1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 115	Stimulus (115, ficha1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 208	Stimulus (208, tabard1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 185	Stimulus (185, rain2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 144	Stimulus (144, lazo3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 96	Stimulus (96, dazzle3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 16	Stimulus (16, arm1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 10	Stimulus (10, apple1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 90	Stimulus (90, danzar3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 284	Stimulus (284, woman2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 122	Stimulus (122, fly2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 262	Stimulus (262, tantrum1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 257	Stimulus (257, tanque2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 69	Stimulus (69, danesa3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 11	Stimulus (11, apple2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 181	Stimulus (181, orgullo1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 184	Stimulus (184, rain1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 206	Stimulus (206, tabaco2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 124	Stimulus (124, fork1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 170	Stimulus (170, neck2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 220	Stimulus (220, taboo1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 58	Stimulus (58, dancette1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 288	Stimulus (288, zapato3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 34	Stimulus (34, dagger1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 198	Stimulus (198, shot3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 212	Stimulus (212, taberna2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 23	Stimulus (23, atun2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 202	Stimulus (202, strawberry1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 285	Stimulus (285, woman3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 191	Stimulus (191, screen2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 217	Stimulus (217, tabloid1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 267	Stimulus (267, tapioca3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 9	Stimulus (9, answer3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 17	Stimulus (17, arm2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 161	Stimulus (161, marisco2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 26	Stimulus (26, daba2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 12	Stimulus (12, apple3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 276	Stimulus (276, taza3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 148	Stimulus (148, lighthouse1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 154	Stimulus (154, liso1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 254	Stimulus (254, tanker2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 166	Stimulus (166, mesa1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 25	Stimulus (25, daba1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 199	Stimulus (199, snake1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 19	Stimulus (19, artichoke1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 116	Stimulus (116, ficha2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 279	Stimulus (279, vault3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 259	Stimulus (259, tanto1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 66	Stimulus (66, danes3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 64	Stimulus (64, danes1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 203	Stimulus (203, strawberry2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 283	Stimulus (283, woman1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 230	Stimulus (230, tackle2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 157	Stimulus (157, manta1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 93	Stimulus (93, dapper3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 155	Stimulus (155, liso2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 160	Stimulus (160, marisco1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 233	Stimulus (233, taco2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 137	Stimulus (137, iron2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 20	Stimulus (20, artichoke2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 190	Stimulus (190, screen1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 204	Stimulus (204, strawberry3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 54	Stimulus (54, damnation3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 260	Stimulus (260, tanto2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 273	Stimulus (273, tattoo3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 175	Stimulus (175, nieve1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 147	Stimulus (147, leg3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 133	Stimulus (133, herrero1.wav)				SPANISH	NR	0					
