P02sPOA_186_lpf,tacha,5,hit,401.80,762.56,483.17,761.22,119.21,13.12,6.70,443.24,739.13,9.29,101.31,
P02sPOA_187_lpf,tapete,5,hit,383.77,760.20,459.28,745.89,64.56,16.06,11.21,221.62,682.48,10.04,113.06,
P02sPOA_188_lpf,canción,5,hit,280.23,725.07,450.91,759.25,88.08,27.44,14.17,1159.50,819.73,1.88,11.40,
P02sPOA_189_lpf,taba,1,miss,999.00,999.00,999.00,999.00,88.08,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_190_lpf,casero,5,hit,274.22,819.55,438.75,761.21,102.22,16.37,11.15,648.90,758.31,3.86,28.35,
P02sPOA_191_lpf,casa,5,hit,280.60,771.69,469.43,763.25,153.46,20.09,12.97,1516.88,683.26,1.55,20.36,
P02sPOA_192_lpf,taberna,1,miss,999.00,999.00,999.00,999.00,153.46,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_193_lpf,tacaño,5,hit,340.44,690.35,443.20,785.65,77.69,11.66,5.00,532.95,1286.89,4.79,25.00,
P02sPOA_194_lpf,tanque,5,hit,415.04,723.92,465.31,762.37,124.71,12.85,5.56,635.52,1270.86,5.12,30.17,
P02sPOA_195_lpf,pablo,1,miss,999.00,999.00,999.00,999.00,124.71,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_196_lpf,tabaco,1,miss,999.00,999.00,999.00,999.00,124.71,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_197_lpf,tapioca,5,hit,375.95,748.78,461.34,752.35,79.17,13.03,8.88,841.19,1427.34,3.92,17.20,
P02sPOA_198_lpf,camión,5,hit,334.58,771.77,419.61,756.93,73.98,16.59,11.00,1433.39,710.16,3.09,33.29,
P02sPOA_199_lpf,papel,5,hit,305.78,642.44,403.61,613.63,73.87,8.85,7.08,198.32,270.61,8.61,209.15,
P02sPOA_200_lpf,cancha,5,hit,336.79,786.59,396.56,737.68,101.63,27.49,11.17,824.62,1186.60,3.94,18.55,
P02sPOA_201_lpf,pandilla,5,hit,320.76,604.63,474.80,719.13,85.55,8.24,5.04,151.93,180.50,11.76,450.85,
P02sPOA_202_lpf,pavor,1,miss,999.00,999.00,999.00,999.00,85.55,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_203_lpf,camisa,5,hit,281.19,817.34,445.28,739.37,73.36,32.76,14.86,1122.98,872.70,2.37,12.63,
P02sPOA_204_lpf,patriota,5,hit,347.97,623.14,456.81,724.30,91.39,13.16,8.25,213.70,378.76,9.02,139.23,
P02sPOA_205_lpf,taxi,1,miss,999.00,999.00,999.00,999.00,91.39,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_206_lpf,tanto,5,hit,335.49,719.69,454.05,710.53,112.34,11.62,6.96,824.71,1602.94,4.03,16.00,
P02sPOA_207_lpf,castaño,5,hit,289.57,718.48,435.33,768.84,74.66,23.56,5.85,354.46,621.68,7.56,84.09,
P02sPOA_208_lpf,paso,5,hit,372.34,607.53,480.34,716.80,154.83,14.79,7.32,393.57,729.05,7.41,69.48,
P02sPOA_209_lpf,paja,5,hit,363.94,548.35,525.19,636.01,154.31,9.37,5.06,415.57,650.26,8.14,90.57,
P02sPOA_210_lpf,pantera,5,hit,340.04,583.03,451.23,731.27,87.83,12.23,2.88,106.32,232.96,16.04,438.47,
P02sPOA_211_lpf,pasillo,5,hit,326.00,604.60,411.20,707.83,103.29,20.23,6.38,188.93,458.13,10.18,160.16,
P02sPOA_212_lpf,pasión,5,hit,317.42,590.44,427.79,730.80,97.23,13.70,7.81,167.88,262.89,11.18,279.05,
P02sPOA_213_lpf,tableta,1,miss,999.00,999.00,999.00,999.00,97.23,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_214_lpf,capa,5,hit,326.36,785.44,462.54,749.73,101.15,18.54,9.12,961.50,808.13,2.66,12.19,
P02sPOA_215_lpf,cascada,5,hit,325.27,777.35,434.82,770.13,101.90,13.98,8.66,626.06,688.94,5.84,46.35,
P02sPOA_216_lpf,tajo,5,hit,367.93,715.48,498.92,734.37,135.54,12.45,7.62,646.83,1150.27,4.85,27.36,
P02sPOA_217_lpf,tacada,5,hit,371.53,737.43,453.85,760.55,75.64,9.49,6.26,469.31,629.28,8.12,85.26,pause
P02sPOA_218_lpf,pata,5,hit,391.77,611.98,473.15,727.74,105.25,18.29,8.06,177.23,350.87,12.82,240.10,
P02sPOA_219_lpf,cana,5,hit,307.01,766.15,446.75,777.88,128.37,20.36,8.79,1294.05,1108.92,2.62,12.31,
P02sPOA_220_lpf,canto,5,hit,315.56,729.31,467.08,755.80,113.50,23.34,8.78,1485.08,801.10,2.02,11.97,
P02sPOA_221_lpf,paco,5,hit,321.77,595.41,450.35,685.56,119.60,7.91,3.89,148.49,160.88,4.70,169.00,
P02sPOA_222_lpf,capricho,5,hit,287.45,815.98,429.63,766.41,63.67,22.21,13.27,1093.77,832.39,1.32,6.51,
P02sPOA_223_lpf,tapa,5,hit,386.83,678.14,501.32,706.91,105.41,12.52,7.15,707.27,1495.75,4.50,20.60,
P02sPOA_224_lpf,cambio,5,hit,318.96,815.64,475.48,753.59,104.21,26.85,8.04,1298.55,805.88,1.68,13.78,
P02sPOA_225_lpf,cada,1,miss,999.00,999.00,999.00,999.00,104.21,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_226_lpf,caso,5,hit,286.11,756.59,481.22,747.63,132.78,24.95,10.95,1517.75,722.86,2.91,32.38,
P02sPOA_227_lpf,paño,5,hit,300.83,588.96,458.39,754.64,148.61,8.22,5.39,130.55,167.40,23.96,1083.57,
P02sPOA_228_lpf,cabra,1,miss,999.00,999.00,999.00,999.00,148.61,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_229_lpf,tacto,5,hit,405.39,688.57,461.20,719.33,121.49,18.89,14.79,419.88,1445.76,5.83,35.42,
P02sPOA_230_lpf,cabo,1,miss,999.00,999.00,999.00,999.00,121.49,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_231_lpf,cabeza,1,miss,999.00,999.00,999.00,999.00,121.49,999.00,999.00,999.00,999.00,999.00,999.00,
P02sPOA_232_lpf,pastoso,5,hit,334.56,589.76,460.05,679.51,190.82,7.71,3.87,96.98,206.53,19.82,660.51,stutter
P02sPOA_233_lpf,pago,1,miss,999.00,999.00,999.00,999.00,190.82,999.00,999.00,999.00,999.00,999.00,999.00,
