"token" "subject" "word" "group" "language" "cons" "stress" "vot" "cog" "sd" "skew" "kurt" "cm"
"139" "BIL_ambarLuna_dama_spanish_1092" "ambarLun" "dama" "bilingual" "Spanish" "d" "stressed" -53.02 871.24 820.48 4.13 27.85 2280561632.27
"140" "BIL_ambarLuna_dama_spanish_1238" "ambarLun" "dama" "bilingual" "Spanish" "d" "stressed" -102.85 794.56 651.13 3.91 26.94 1078399110.5
"141" "BIL_ambarLuna_dama_spanish_1258" "ambarLun" "dama" "bilingual" "Spanish" "d" "stressed" -34.87 396.82 835.63 9.05 126.66 5279308702.08
"142" "BIL_ambarLuna_damage_english_1124" "ambarLun" "damage" "bilingual" "English" "d" "stressed" 20.96 3387.04 1961.65 0.26 0.64 1970100456.38
"143" "BIL_ambarLuna_damage_english_1168" "ambarLun" "damage" "bilingual" "English" "d" "stressed" 36.65 4389.12 1399.08 0.09 3.16 235724532.92
"144" "BIL_ambarLuna_damage_english_1198" "ambarLun" "damage" "bilingual" "English" "d" "stressed" 34.51 4440.37 1911.63 -0.11 0.73 -755761949.42
"145" "BIL_ambarLuna_damnation_english_1156" "ambarLun" "damnation" "bilingual" "English" "d" "unstressed" 24.91 3780.82 1579.36 0.04 1.87 144166280.54
"146" "BIL_ambarLuna_damnation_english_1248" "ambarLun" "damnation" "bilingual" "English" "d" "unstressed" 19.67 3585.82 2213.47 0.28 0.2 3078412536.69
"147" "BIL_ambarLuna_damnation_english_1254" "ambarLun" "damnation" "bilingual" "English" "d" "unstressed" 24.63 3657.97 2321.44 0.49 0.26 6081481754.78
"148" "BIL_ambarLuna_damper_english_1042" "ambarLun" "damper" "bilingual" "English" "d" "stressed" 26.91 4212.61 1761.37 -0.31 2.02 -1696905359.3
"149" "BIL_ambarLuna_damper_english_1068" "ambarLun" "damper" "bilingual" "English" "d" "stressed" 35.45 4380.81 1332.35 0.48 5.64 1143356684.22
"150" "BIL_ambarLuna_damper_english_1150" "ambarLun" "damper" "bilingual" "English" "d" "stressed" 24.35 4794.79 2001.22 0.11 1.04 875971187.56
"151" "BIL_ambarLuna_danar_spanish_1038" "ambarLun" "danar" "bilingual" "Spanish" "d" "unstressed" 19.81 237.44 361.68 27.08 910.58 1281489802.32
"152" "BIL_ambarLuna_danar_spanish_1186" "ambarLun" "danar" "bilingual" "Spanish" "d" "unstressed" 13.61 793.38 693.49 3.69 27.93 1231823210.95
"153" "BIL_ambarLuna_danar_spanish_1246" "ambarLun" "danar" "bilingual" "Spanish" "d" "unstressed" -37.46 933.58 865.71 2.9 13.14 1883676981.13
"154" "BIL_ambarLuna_dancette_english_1134" "ambarLun" "dancette" "bilingual" "English" "d" "unstressed" 24.76 2656.6 1853.33 0.56 1.81 3563822993.87
"155" "BIL_ambarLuna_dancette_english_1174" "ambarLun" "dancette" "bilingual" "English" "d" "unstressed" 34.06 3477.44 1974.04 0.85 4.12 6543189219.25
"156" "BIL_ambarLuna_dancette_english_1252" "ambarLun" "dancette" "bilingual" "English" "d" "unstressed" 18.24 1214.84 1659.13 2.01 6.89 9202583791.39
"157" "BIL_ambarLuna_dancing_english_1024" "ambarLun" "dancing" "bilingual" "English" "d" "stressed" 24.89 4192.22 1861.58 0.27 1.09 1713864864.38
"158" "BIL_ambarLuna_dancing_english_1058" "ambarLun" "dancing" "bilingual" "English" "d" "stressed" 24.14 3665.66 1720.09 0.13 1.68 639289227.25
"159" "BIL_ambarLuna_dancinge_english_1158" "ambarLun" "dancing" "bilingual" "English" "d" "stressed" 23.79 3928.87 2020.71 0.19 1.45 1564569970.13
"160" "BIL_ambarLuna_danesa_spanish_1086" "ambarLun" "danesa" "bilingual" "Spanish" "d" "unstressed" -42.15 987.19 802.26 2.02 11.26 1042930730.32
"161" "BIL_ambarLuna_danesa_spanish_1094" "ambarLun" "danesa" "bilingual" "Spanish" "d" "unstressed" -69.85 1214.96 1117.74 1.68 5.02 2345179435.36
